grau,turno,mensalidade,bolsa_integral_cotas,bolsa_integral_ampla,bolsa_parcial_cotas,bolsa_parcial_ampla,curso_id,curso_busca,cidade_busca,uf_busca,cidade_filtro,universidade_nome,campus_nome,campus_id,nome,nota_integral_ampla,nota_integral_cotas,nota_parcial_ampla,nota_parcial_cotas
Bacharelado,Noturno,1048.52,,,,10,107607311302333,Engenharia Civil,Teresina,PI,MjIwMjAwMzExMDAx,Faculdade Santo Agostinho - FSA,ANEXO II - São Pedro,1076073,Engenharia Civil,,,617.42,
Bacharelado,Noturno,1048.32,0,13,,,657950589283,Sistemas de Informação,Mogi das Cruzes,SP,MzUxNTA2MjMwNjA3,Universidade de Mogi das Cruzes - UMC,CAMPUS CENTRO CÍVICO - Centro Cívico,657950,Sistemas de Informação,593.56,,,
Bacharelado,Matutino,1048.15,1,,,5,658391438341,Direito,Vila Velha,ES,MzIwMzAwOTA1MjAw,Faculdade Novo Milênio - FNM,POLO NA SEDE - Coqueiral de Itaparica,658391,Direito,632.12,,614.32,
Bacharelado,Noturno,1048.15,1,1,,10,658391438343,Direito,Vila Velha,ES,MzIwMzAwOTA1MjAw,Faculdade Novo Milênio - FNM,POLO NA SEDE - Coqueiral de Itaparica,658391,Direito,687.1,679.08,571.38,
Bacharelado,Noturno,1048.0,5,4,,,10699501142243,Enfermagem,Brasilia,DF,NTMwMTAwMTAwMTA4,Faculdade Anhanguera de Ciências e Tecnologia de Brasília,FACULDADE DE CIÊNCIAS E TECNOLOGIAS DE BRASILIA - Asa Sul,1069950,Enfermagem,597.28,572.76,,
Bacharelado,Noturno,1048.0,2,1,,,104403412856133,Educação Física,Aimores,MG,MzEwODA0MTAxMTAy,Faculdade Presidente Antônio Carlos de Aimorés,UNIDADE SEDE - Centro,1044034,Educação Física,625.3,581.04,,
Bacharelado,Noturno,1048.0,4,4,,,104321712048623,Arquitetura e Urbanismo,Governador Valadares,MG,MzEwODAzNzI3NzAx,Faculdade Pitágoras de Governador Valadares - PIT GV,UNIDADE SEDE - Centro,1043217,Arquitetura e Urbanismo,627.3,603.58,,
Bacharelado,Noturno,1048.0,17,15,,,1003682561603,Direito,Uberlandia,MG,MzEwNTAxODcwMjA2,Faculdade Pitágoras de Uberlândia - PIT UBERLÂNDIA,UNIDADE SEDE - Morada da Colina,1003682,Direito,625.42,599.62,,
Bacharelado,Matutino,1048.0,11,9,,,658338197301,Direito,Cuiaba,MT,NTEwNDAxNzAzNDAz,Centro Universitário Unic,CAMPUS  - CUIABÁ - JARDIM EUROPA - Jardim Europa,658338,Direito,582.96,571.42,,
Bacharelado,Noturno,1048.0,3,3,,,658933884883,Farmácia,Sinop,MT,NTEwMTAwNzA3OTA5,Faculdade de Ciências Sociais Aplicadas de Sinop - FACISAS,CAMPUS  - SINOP - EUNICE - Eunice,658933,Farmácia,577.78,568.7,,
